Declared UDA,Reference Number,Application Type,Proposal details,Type of approval,Address of Site,Property Desc.,Decision date
"Fitzgibbon, Brisbane",DEV2011/120,Material Change of Use,Mulitple Residential (4 dwelling units) facilitate the construction on 2 loft units a nd 2 duplex units,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 16 on SP228785,12/07/2011
"Fitzgibbon, Brisbane",DEV2011/121,Reconfiguring a Lot,1 into 26 residential lots with new road,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 1001 on SP242271,14/07/2011
Moranbah,DEV2011/122,Material Change of Use,"Reconfiguring a Lot (Subdivision 1 into 151 residential lots, new roads and parks and balance lot), Material Change of Use (Houses & Multiple Residential) and Operational Works (Car Park)",Development Permit,"Lot 52 Tallon Street, Moranbah and unformed road reserve",Lot 52 on CP912825 and road reserve,18/07/2011
,,Reconfiguring a Lot,,,,,
,,Operational Work,,,,,
Blackwater,DEV2011/123,Material Change of Use,MCU for 12 Multiple Residential Dwelling,Development Permit,"Cnr Arthur, Rufus and Doon Streets, Blackwater",Lot 11 on CP33758,2/09/2011
"Northshore Hamilton, Brisbane",DEV2011/124,Reconfiguring a Lot,Boundary Realignment and Access Easement,Development Permit,"111 Cullen Avenue West and 184 Curtin Avenue West, Eagle Farm Qld 4009",Lot 736 on SL3919 and Lot 863 on SL4592,27/05/2011
Blackwater,DEV2011/125,Operational Work,"Operations Works including Earthworks, Roadworks and Drainage, Sewerage Reticulation, Water Reticulation and Erosion Sediment Control.",Development Permit,"71 Mackenzie Street, Cnr Hunter Street, Blackwater",Lot 100 on SP211943,27/05/2011
Blackwater,DEV2011/126,Material Change of Use,1 lot into 2 lots with a house on each lot and associated operational work,Development Permit,"Cnr Pendula Lane and Hunter Street, Blackwater",Lot 74 on SP211943,7/11/2011
,,Reconfiguring a Lot,,,,,
,,Other,,,,,
Blackwater,DEV2011/127,Material Change of Use,Upgraded carpark,Development Permit,"Cnr Littlefield Street & Capricorn Highway, Blackwater",Lot 82 on CP910332,4/07/2011
"Bowen Hills, Brisbane",DEV2011/128,Reconfiguring a Lot,Boundary Realignment,Development Permit,"480 & 574 Gregory Terrace, Bowen Hills",Lot 703 on SP219238 and Lot 661 on SL1569,22/07/2011
"Northshore Hamilton, Brisbane",DEV2011/129,Reconfiguring a Lot,Reconfiguring a Lot (5 lot volumetric subdivision),Development Permit,"483-485 Kingsford Smith Drive., 8 Hercules Street and 8 Harbour Road, Hamilton","Lot 544 SL1514, Lot 550 SL1551. Lot 100 SP116284, Lot 650 SL2212 and Lot 1 SP206759",7/06/2011
"Northshore Hamilton, Brisbane",DEV2011/130,Reconfiguring a Lot,"2 lots into 7 lots subdivision, realignment of Hercules Street and MacArthur Avenue, Park and new roads with a Sub-Precinct Plan (Sub-Precinct 3(a) - Remora Road)",Development Permit,"Remora Road, Hamilton","Lot 70 on SP174550, Lot 646 on SP200123, Lot 614 on SL4775 and Lot 1160 on SP108456",4/11/2011
Blackwater,DEV2011/131,Material Change of Use,Multiple Residential 2 Dwelling units,Development Permit,"5 Deacon Street, Blackwater",Lot 21 on SP206875,6/10/2011
Moranbah,DEV2011/133,Material Change of Use,10 Multiple Dwelling Units,Development Permit,"Grosvenor Drive, Moranbah",Part of Lot 900 on SP212063 describe as proposed Lot 3 on Plan of Proposed Subdivision 09002-9B,6/07/2011
Moranbah,DEV2011/134,Material Change of Use,16 Multiple Dwelling Units,Development Permit,"Grosvenor Drive, Moranbah","Part of Lot 900 on SP212063 described as proposed Lots 19,20,21 on Plan of Proposed Subdivision 09002-9B",30/06/2011
Blackwater,DEV2011/136,Material Change of Use,MCU for 8 Multiple Residential Dwellings,Development Permit,"17-19 Sandalwood Street, Blackwater",Lot 3 on SP174462,9/09/2011
Blackwater,DEV2011/137,Material Change of Use,Mixed use development,Development Permit,Doon Street. Blackwater,Lot 713- 718 on HT596,17/02/2012
"Bowen Hills, Brisbane",DEV2011/138,Material Change of Use,"Office, Shop, Indoor Entertainment and Food Premises",Development Permit,"58-66 Abbotsford Road, Bowen Hills","Lot 2 on RP133342, Lot 1 on RP127538 and Lot 1 on RP155441",5/10/2011
Ripley Valley,DEV2011/139,Material Change of Use,"Reconfiguring a Lot and Plan of Development for 175 lots (168 residential lots, 3 management lots, 4 balance lots, and park).",Development Permit,"Barrams Road and Abrahams Road, South Ripley 4306",Lots 58 to 61 on S151855 and Part of Barrams Road Reserve (to be closed),16/05/2012
,,Reconfiguring a Lot,Material Change of Use for houses (168 dwellings) and multiple residential (24 dwellings).,,,,
,,,Change to Approval and Extension of Currency Period approved 19 February 2014.,,,,
"Fitzgibbon, Brisbane",DEV2011/140,Reconfiguring a Lot,"3 into 152 lots + balance lots, new road and park.",Development Permit,"625 Rohgan Road, Fitzgibbon",Lot 5000 & 5001 on SP242321 + Lot 4000 on SP242306,12/08/2011
,,,Change to Approval approved 4 February 2014.,,,,
Caloundra South,DEV2011/141,Operational Work,Operational works (Temporary haul road and bridge - Lamerough Creek),Development Permit,"Bellvista Bouleward, Caloundra West, QLD 4551",Lot 22 on SP190373 and Lot 505 on RP884348,16/09/2011
Blackwater,DEV2011/142,Reconfiguring a Lot,Reconfiguration of a Lot by Residential Subdivision (1 Lot into 2 Lots),Development Permit,"47 Fay Street, Blackwater",Lot 50 on B33715,29/11/2011
"Bowen Street, Roma",DEV2011/143,Reconfiguring a Lot,"Subdivision of 1 into 32 residential lots, new road and park with POD - Change to Approval",Development Permit,"Bowen Street, Roma",Lot 143 on AP15788,14/09/2011
"Clinton, Gladstone",DEV2011/144,Reconfiguring a Lot,"Development Application for Permissible Development for Reconfiguring a Lot (one lot into 69 residential lots, two open space lots, balance lot and new road) and Plan of Development providing for 77 dwelling units for stages two and three of the HillClose Estate.",Development Permit,"2 Harvey Road, Clinton",Lot 193 on CTN 1861,27/09/2011
,,,Change to Approval approved 6 January 2012.,,,,
"Northshore Hamilton, Brisbane",DEV2011/145,Reconfiguring a Lot,ROL - Boundary Realignment,Development Permit,"Harbour Road & Hercules Street, Hamilton","Lot 802, 804 & 805 on SP172618 and Lot 4 on SP172658 and Lot 922 on SP231800",15/08/2011
Ripley Valley,DEV2011/146,Material Change of Use,Material Change of Use for a Utility Installation (Telecommunications facility),Development Permit,"Lot 4 Wensley Road, Deebing Heights QLD 4306",Part of Lot 4 on SP193443,6/02/2012
"Bowen Hills, Brisbane",DEV2011/147,Material Change of Use,MCU - Increase GFA,Development Permit,"35 Allison Street, Bowen Hills QLD 4006",Lots 1 & 2 RP 162853,25/08/2011
"Northshore Hamilton, Brisbane",DEV2011/149,Reconfiguring a Lot,Boundary realignment and op works for tidal works and vegetation clearing,Development Permit,"305 MacArthur Ave, Eagle Farm","Lot 100, 103, 104, 110, 111, 105, 106, 107 on SP224971",20/09/2011
,,Operational Work,,,,,
Blackwater,DEV2011/151,Reconfiguring a Lot,ROL 1 into 3,Development Permit,"16 Bauman Way, Blackwater",Lot 14 on B337137,7/04/2011
Moranbah,DEV2011/153,Material Change of Use,MCU for multiple residential and ROL,Development Permit,"Barron Court, Moranbah",Lots 506 and 601 on SP186196,17/11/2011
,,Reconfiguring a Lot,,,,,
"Bowen Street, Roma",DEV2011/154,Reconfiguring a Lot,"ROL - Sudivision of 1 into 27 residential lots, balance lot and new road with a POD",Development Permit,"Bowen Street, Roma",Lot 143 on AP15786,19/10/2011
Blackwater,DEV2011/155,Reconfiguring a Lot,Two (2) lots and two (2) 'houses',Development Permit,"26 Blackbutt Street, Blackwater",Lot 9 on B933744,18/10/2011
Moranbah,DEV2011/156,Material Change of Use,MCU - mutliple residential (59),Development Permit,"Lots 411 and 506 Utah Drive, Moranbah",Lots 411 and 506 on SP230470,14/11/2011
"Northshore Hamilton, Brisbane",DEV2011/157,Reconfiguring a Lot,ROL and sub-precinct plan assessment,Development Permit,"Macarthur Avenue and Curtin Avenue West, Eagle Farm","Lot 2 and 12 on SP195300, Lots 5, 98, 99 and 879 on SP205057, Lot 32 on SP104130, Lot B on 5P2O5744, Lot 10 on 5P2I4227",26/03/2012
"Fitzgibbon, Brisbane",DEV2011/158,Material Change of Use,MCU multiple dwellings (21 townhouse units),Development Permit,"Corner Carselgrove Avenue & Lavender Place, Fitzgibbon",Lot 507 on SP232005,3/11/2011
"Fitzgibbon, Brisbane",DEV2011/159,Material Change of Use,"Subdivide 12 lots into 26 creating additional road area and construct terrace, avenue and urbane dwellings",Development Permit,"Lot 165 to 178 Kimberley Park Way and Katherine Street, Fitzgibbon",Lot 165 to 178 on SP242306,2/11/2011
,,Reconfiguring a Lot,,,,,
Blackwater,DEV2011/162,Material Change of Use,MCU to establish a multiple residential development (two dwellings) and operational works,Development Permit,"73 Arthur Street, Blackwater",Lot 39 on B33785,2/12/2011
,,Operational Work,,,,,
"Fitzgibbon, Brisbane",DEV2011/163,Material Change of Use,"Commercial (Office), Retail (Food Premises), Service Community and Other Uses (Community Facility) and Operational Works (Vegetation Clearing) - Change to Approval.",Development Permit,"532 Beams Road, CARSELDINE QLD 4034",Lot 322 on RP172124,23/12/2011
,,,Change to Approval approved 12 December 2013.,,,,
"Fitzgibbon, Brisbane",DEV2011/164,Material Change of Use,MCU (9),Development Permit,"36 Hinchinbrook Avenue, Fitzgibbon",Lot 111 on SP234612,18/11/2011
"Fitzgibbon, Brisbane",DEV2011/165,Material Change of Use,36 Multiple Residential dwellings: Lots 133 to 136 - 15 units and Lots 137 to 141 - 21 units.,Development Permit,"Roghan Road and Kondalilla Place, Fitzgibbon",Lots 133-141 on SP234612,18/11/2011
,,,Change to Approval approved 3 July 2015.,,,,
,,,Change to Approval - Extension to Currency Period to 18 May 2016 approved 20 October 2015.,,,,
,,,Change to Approval - Extension to Currency Period to 18 May 2017 approved 4 November 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2011/166,Reconfiguring a Lot,1 into 2 lots,Development Permit,"305 MacArthur Ave, Hamilton",Lot 115 on SP224971,20/10/2011
Ripley Valley,DEV2011/167,Material Change of Use,"Material Change of Use for Service Centre (Service Station and Shops), Environmentally Relevant Activity (ERA No. 8(3)(a) - Chemical Storage), and Reconfiguring a Lot for 1 Lot into 3 Lots and New Road.",Development Permit,"332 Ripley Road, Ripley Valley",Lot 1 on SP150064,20/09/2013
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2011/168,Other,"The installation of a 40.00 metre monopole, a headframe, six panel antennas, a prefabricated equipment shelter and ancillary equipment.",Development Permit,"6-18 Eagleview Place, Eagle Farm",Lot 100 on RP908964,18/11/2011
,,,Change to Approval approved 4 September 2014.,,,,
,,,Change to Approval approved 27 November 2014.,,,,
,,,Extension to Currency Period to 18 November 2017 approved 9 November 2015.,,,,
Ripley Valley,DEV2011/169,Material Change of Use,"Reconfiguration of a lot (3 into 426 residential lots and park) with a plan of development and MCU for residential, sales offic and display home.",Development Permit,"160-186,188-208 and 210-224 Daleys Road, Ripley","Lots 3,5 and 6 on RP180932",21/11/2012
,,Reconfiguring a Lot,,,,,
Blackwater,DEV2011/170,Material Change of Use,Extensions to Blackwater Country Club,Development Permit,"Mulga Street, Blackwater",Lot 2 on SP181608,18/05/2012
"Bowen Hills, Brisbane",DEV2011/171,Material Change of Use,Proposed Office within Established industrial Building,Development Permit,"152 Abbotsford Road, Bowen Hills",Lot 4 on RP207071,19/01/2012
Moranbah,DEV2011/172,Material Change of Use,Expansion of Non-resident worker accommodation (70 units),Development Permit,"Acacia Street and Belyando Avenue, Moranbah",Lot 4 on SP239826,13/01/2012
"Bowen Street, Roma",DEV2011/173,Reconfiguring a Lot,"ROL - 1 lot into 51 residential lots, balance lots and new road - Change to Approval",Development Permit,"Bowen Street, Roma",Lot 143 on AP15786,19/02/2012
"Fitzgibbon, Brisbane",DEV2011/175,Reconfiguring a Lot,"ROL - 1 into 158 lots plus new road, park and balance parcel.",Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 5000 on SP242321,9/12/2011
,,Operational Work,Op Works - Filling to a depth greater than one vertical metre.,,,,
,,,Op Works - Clearing vegetation ithin the Busland and Open Space Zone.,,,,
Blackwater,DEV2011/176,Material Change of Use,Multiple Dwelling (3 units),Development Permit,"17 Umbrella Street, Blackwater",Lot 12 on B337100,22/12/2011
Blackwater,DEV2011/177,Material Change of Use,Multiple dwelling ( 3 units),Development Permit,"39 Evans Street, Blackwater",Lot 45 on B33723,22/12/2011
Yarrabilba,DEV2011/178,Reconfiguring a Lot,Subdivision (2 lot into 2 lots),Development Permit,"Waterford Tamborine Road, Yarrabilba",Part of Lot 2 on RP138537 and Part of Lot 1 on RP27552,6/12/2011
Yarrabilba,DEV2011/179,Operational Work,Advertising Device,Development Permit,"Waterford Tamboring Road, Yarrabilba","Lot 2 on RP138537, Lot 631 on SP101422, Lot 382 on SP101423, Lot 50 on SP180239 and Lot12 on SP180238",6/12/2011
"Fitzgibbon, Brisbane",DEV2011/180,Material Change of Use,Multiple Residentual - 100 units,Development Permit,Corner Rohgan Road and Carselgrove Avenue,Lot 4000 on SP242306,2/12/2011
Blackwater,DEV2011/181,Material Change of Use,Short Term Accommodation,Development Permit,"19 Mackenzie Street, Blackwater",Lot 2 & 3 on RP608877,30/03/2012
"Fitzgibbon, Brisbane",DEV2011/182,Reconfiguring a Lot,"1 into 179 residentialy, 1 neighbourhood centre lot, a parl, a new road, balance lot and POD",Development Permit,"20 Merimbula Crescent, Fitzgibbon",Lot 4001 on SP242308,9/12/2011
,,,Change to Approval approved 4 February 2014.,,,,
"Andergrove, Mackay",DEV2011/183,Reconfiguring a Lot,"ROL UDA Stage 4 (32 lots), Stage 5A (19 lots) and Stage 5B (12 lots)",Development Permit,"271 Bedford Road, Andergrove QLD 4740",Lot 4 & 5 on SP237606,21/03/2012
"Fitzgibbon, Brisbane",DEV2011/184,Reconfiguring a Lot,ROL - 1 lot into 13 - residential dwellings,Development Permit,"253 Fitzgibbon Road, Fitzgibbon",Part of Lot 5022 on SP242308,22/12/2011
"Bowen Hills, Brisbane",DEV2011/185,Material Change of Use,"Visitor Accommodation and Multiple Residential (228 dwelling units), Retail and Commercial Uses",Development Permit,"510 St Pauls Terrace, Bowen Hills",Lot 2 on RP109688,30/07/2012
,,,Change to Approval approved 27 September 2013.,,,,
,,,Change to Approval approved 17 January 2014.,,,,
,,,Change to Approval approved 1 December 2014.,,,,
,,,Change to Approval approved 6 February 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2011/186,Material Change of Use,Dental Clinic,Development Permit,"8 Harbour Road, Hamilton",Lot 10007 &10008 on SP224043,14/05/2012
Yarrabilba,DEV2011/187,Material Change of Use,Material Change of Use - Whole of Site (for the uses set out in Lend Lease Drawing No. YAB-IA-MAP 1 2011 dated 11 January 2012).,Development Permit,"Waterford Tamborine Road, Yarrabilba","Lots 1 & 3 on RP27535, Lot 3 on RP27551, Lot 1 on RP27552, Lot 3 on RP36802, Lot 3 on RP36797, Lots 1 & 3 on RP36803, Lots 1 & 2 on RP138537, Lot 21 on W31635, Lot 54 on W31707, Lots 26 & 27 on W31730, Lot 38 on W31932, Lots 34-36 on W31950, Lot 41 on W311273, Lot 42 on W311428, Lot 38 on W311080, Lot 11 on W311846, Lot 1 on WD3523, Lot 361 on SP101422, Lot 382 on SP101423, Lot 12 on SP180238, Lot 50 on SP180239",4/04/2012
,,,Change to Approval approved 16 May 2014.,,,,
,,,Change to Approval approved 15 October 2014.,,,,
,,,Change to Approval approved 13 March 2015.,,,,
,,,Change to Approval approved 2 July 2015.,,,,
"Fitzgibbon, Brisbane",DEV2011/188,Material Change of Use,MCU - 4 x 2 level attached townhouses,Development Permit,"Hinchbrook Avenue, Fitzgibbon Chase",Lot 61 on SP234611,8/02/2012
"Fitzgibbon, Brisbane",DEV2011/189,Reconfiguring a Lot,ROL 1 lot into 57 plus new road and a balance parcel;,Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 5000 on SP242321,15/12/2011
,,Operational Work,OW - Clearing vegetation within the bushland adn open space zone.,,,,
Moranbah,DEV2011/191,Material Change of Use,MCU - Non-resident worker accommodation (3258 dwelling units) and interim use (360 Dwelling units for construction workers).,Development Permit,"Moranbah Railway Station Road, Moranbah",Lot 27 on SP255600,29/05/2012
,,,Application to extend currency period to 8 years from original decision date approved 10 February 2014.,,,,
"Fitzgibbon, Brisbane",DEV2011/192,Reconfiguring a Lot,"1 lot into 18 plus new road, park and balance parcel",Development Permit,"253 Telegraph Road, Fitzgibbon",Lot 5002 on SP242308,23/12/2011
Moranbah,DEV2011/193,Material Change of Use,Interim Use (Multiple Residential) for Construction Workers,Development Permit,"Goonyella Road, Moranbah",Lot 78 on CP901715,20/01/2012
"Fitzgibbon, Brisbane",DEV2011/194,Material Change of Use,Multiple Residential - 6 units,Development Permit,"31 Kondilla Place, Fitzgibbon",Lot 132 on SP234612,31/05/2012
,,Operational Work,,,,,
"Fitzgibbon, Brisbane",DEV2011/195,Material Change of Use,Multiple Residential - 5 units,Development Permit,"37 Hinchinbrook Avenue, Fitzgibbon",Lot 128 on SP234612,7/06/2012
Moranbah,DEV2011/199,Material Change of Use,Multiple Residential ( 30 Dwelling Units),Preliminary Approval,"Lockyer Drive, Moranbah",Lot 901 on SP244516,23/03/2012
Caloundra South,DEV2011/200,Material Change of Use,Material Change of Use (in accordance with the Caloundra South Master Plan) and Reconfiguring a Lot (3 lots into 27 lots),Preliminary Approval,"Bellvista Boulevard, Caloundra West and Bells Creek Road, Bells Creek","part of Lot 22 on SP190373, part of Lot 505 on RP884348 and part of Lot 3 on RP910849",15/06/2012
,,Reconfiguring a Lot,,Development Permit,,,
Blackwater,DEV2011/201,Operational Work,"Operational Work - filling and excavation, pavement and stormwater drainage works, sewer works and eronsion and sediment control",Development Permit,"3 Mackenzie Street, Blackwater",Lot 1 on RP608586,19/04/2012
Blackwater,DEV2011/202,Material Change of Use,"Development Permit for Material Change of Use ""House"" and Reconfiguration of Lot one: 1 into 2 and associated Operational Works",Development Permit,"32 Acacia Street, Blackwater",Lot 56 on B33781,6/06/2012
,,Reconfiguring a Lot,,,,,
,,Operational Work,,,,,
Moranbah,DEV2011/203,Material Change of Use,MCU - Multiple Residential (42); ROL 1 lot into 7 lots with Plan of Development,Development Permit,"Lot 5 Barron Court, Moranbah",Lot 5 on SP186196,23/03/2012
,,Reconfiguring a Lot,,,,,
Greater Flagstone,DEV2011/204,Material Change of Use,Development Permit for Reconfiguring a Lot with Plan of Development (1 into 10 lots plus Road and Balance Allotment) and Material Change of Use (House - 10 Dwellings).,Development Permit,"61 Gumview Crescent, Jimboomba QLD 4280",Lot 997 on SP231532,6/03/2013
,,Reconfiguring a Lot,,,,,
"Northshore Hamilton, Brisbane",DEV2012/205,Material Change of Use,16 storey mulit-residential tower incorporating a cafe tenancy at ground level.,Development Permit,"37B Harbour Road, Hamilton",Lot 805 on SP172618 and part of Lots 802 & 804 on SP172618 and Lot 922 on SP231800,25/05/2012
,,,Change to Approval approved 24 July 2013.,,,,
,,,Change to Approval approved 9 December 2013.,,,,
,,,Change to Approval approved 28 August 2014.,,,,
,,,Change to Approval approved 6 March 2015.,,,,
"Northshore Hamilton, Brisbane",DEV2012/206,Material Change of Use,Portside Wharf Building 5 - Fifteen (15) storey Multiple Residential Tower incorporating a shop tenancy at ground level.,Development Permit,"37B Harbour Road, Hamilton",Lot 805 on SP172618 and part of Lots 802 & 804 on SP172618 and Lot 922 on SP231800,17/04/2012
,,,Change to Approval approved 24 June 2014.,,,,
,,,Change to Approval approved 7 October 2014.,,,,
,,,Change to Approval approved 5 November 2014.,,,,
"Bowen Hills, Brisbane",DEV2012/207,Material Change of Use,"Office; business; shop; food premises; showroom, storage and display facilities; and sub precinct plan",Development Permit,"4, 6, 10, 14 & 18 Hudd Street and 51,69 & 89 Mayne Street, Bowen Hills","Lots 1-3 on RP9896, Lots 5 & 6 on RP9895, Lot 7 on RP885888, Lot 103 on SP155738, Lot 101 on RP146694 and Part Lot 30 on SP229949",30/04/2010
Blackwater,DEV2012/208,Reconfiguring a Lot,Reconfiguration of a Lot - 2 Lots into 171 Lots plus new road and park with a Plan of Development,Development Permit,"Bauman Way, Blackwater",Lot 1 on B337172 & Lot 7 on SP243869,8/05/2012
Greater Flagstone,DEV2012/209,Material Change of Use,"Material Change of Use for: Residential uses; Commercial uses; Industrial uses; Retail uses; Rural uses; Service, community and other uses; Sport, recreation and entertainment uses; and Interim uses. The proposal relates to fourteen parcels of land with access via New Beith Road, Mountain Ridge Road and Homestead Drive . The proposal also involves development within part of the New Beith Road reserve and Homestead Drive road reserve.",Development Permit,"New Beith Road, Mountain Ridge Road and Homestead Road, Undullah QLD","Lot 1 on RP35155, Lot 2 on RP47120, Lot 4 on RP45728, Lot 5 on CPS312569, Lot 9 on CPS312569, Lot 10 on CPSL6002, Lot 873 on SP166448, Lot 906 on SP216472, Lot 907-908 on RP819216, Lot 910 on RP857850, Lot 911 on RP857870, Lot 988 on CP857841, Lot 989 on RP854074, Part of New Beith Road reserve (to be closed), Part of Homestead Drive reserve (to be closed)",19/10/2012
Moranbah,DEV2012/210,Reconfiguring a Lot,1 into 2 subdivison,Development Permit,"Belyando Avenue, Moranbah",Lot 1 on M97367,20/04/2012
,,Operational Work,,,,,
Caloundra South,DEV2012/213,Operational Work,Development Application for Operational Works (Three (3) x Advertising Devices).,Development Permit,"Bruce Highway and Bells Creek Road, Caloundra South",Lot 505 RP884348 & Lot 3 RP910849,24/08/2012
,,,Change to Approval approved 27 November 2012.,,,,
,,,Change to Approval approved 3 June 2015,,,,
"Bowen Hills, Brisbane",DEV2012/214,Material Change of Use,Development permit for material change of use for commerical office and food premises,Development Permit,"41 O'Connell Terrace, Bowen Hills","Lot 2 on SP229958, Lot 13 on RP9954, Lot 2 on RP166978",19/03/2012
"Bowen Street, Roma",DEV2012/217,Reconfiguring a Lot,ROL - 1 lot into 2 lots,Development Permit,"Bowen Street, Roma",Lot 143 on AP15786,30/01/2012
"Bowen Street, Roma",DEV2012/218,Material Change of Use,Development permit for material change of use (temporary 2 years only for 56 temporary construction workers accommodation) and associated operational works,Development Permit,"Currey Street, Roma",Lot 900 on SP252073,5/06/2012
,,Operational Work,,,,,
"Northshore Hamilton, Brisbane",DEV2012/219,Material Change of Use,Development permit for material change of use for warehouse extension & associated operational works,Preliminary Approval,"12/212 Curtin Avenue, Eagle Farm",Lots 1-13 & Common Properly on SP111106,1/05/2012
,,Operational Work,,Development Permit,,,
Blackwater,DEV2012/220,Material Change of Use,Construction of multi unit development consisting of 5 units. Submission for MCU & Operational Works Approval,Development Permit,"16 Bauman Way, Blackwater",Lot 14 B337137,4/05/2012
,,Operational Work,,,,,
Blackwater,DEV2012/221,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 2 residential lots) with existing house and associated operational works,Development Permit,"21 Littlefield Street, Blackwater",Lot 52 on B33723,6/06/2012
,,Operational Work,,,,,
"Fitzgibbon, Brisbane",DEV2012/222,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 3 residential lots),Development Permit,"Merimbula Crescent, Fitzgibbon",Lot 823 on SP242274,12/03/2012
"Bowen Hills, Brisbane",DEV2012/223,Material Change of Use,Development permit for material change o fuse (18 dwelling units) and associated operational works.,Development Permit,"1-3 Hurworth Street, Bowen Hills",Lots 1-3 on RP54247,10/05/2012
,,Operational Work,Change to Approval approved 6 November 2013.,,,,
"Bowen Hills, Brisbane",DEV2012/224,Material Change of Use,Development permit for material change of use for office (962m2),Development Permit,"137 Abbotsford Road, Bowen Hills",Lot 1 on SP172144,7/06/2012
"Bowen Hills, Brisbane",DEV2012/225,Material Change of Use,"MCU - Office, Business, Shop, Food Premises and Utility Installation",Development Permit,"470-180 St Pauls Terrace, 488 St Pauls Terrace and Part of St Pauls Terrace Road Reserve, Bowen Hills","Lots 1 & 2 on RP95389, part Lot 104 & 105 on SP219236 and part of the St Pauls Terrace Road Reserve",4/05/2012
Blackwater,DEV2012/226,Material Change of Use,Development permit for material change of use for house (shed 72m2),Development Permit,"61 Wattle Street, Blackwater",Lot 9 on B33762,13/06/2012
Blackwater,DEV2012/227,Material Change of Use,"Development permit for material change of use for service station with associated chemical storage, ERA 8 (chemical storage) and associated operational works",Development Permit,"58-60 Railway Street (Capricorn Hwy) Cnr Arthur Street, Blackwater",Lot 28 on SP193689 & Lot 1 on B33738,4/05/2012
,,Operational Work,,,,,
Blackwater,DEV2012/228,Material Change of Use,Development permit for material change of use for multiple residential dwellings with operational works,Development Permit,"20 Rufus Street, Blackwater",Lot 178 on SP238471,19/04/2012
,,Operational Work,,,,,
"Clinton, Gladstone",DEV2012/229,Reconfiguring a Lot,"Development permit for reconfiguring a lot (1 into 13 residential lots, 1 open space lot and balance lot) with new road and plan of development",Development Permit,"Harvey Road, Clinton",Lot 900 on SP246026,21/03/2012
Blackwater,DEV2012/230,Reconfiguring a Lot,Development permit for reconfiguring a lot (subdivision of 1 into 30 residential lots) with new road and plan of development and a developmet permit for associated operational works.,Development Permit,"Yeates Avenue, Blackwater",Lot 1 on SP235822,3/07/2012
,,Operational Work,Change to Approval approved on 21 August 2013.,,,,
Blackwater,DEV2012/231,Material Change of Use,Extension to Medical Centre,Development Permit,"Lot 5 Blaine Street, Blackwater",Lot 5 on B337147,9/04/2013
Blackwater,DEV2012/232,Material Change of Use,Residential shed,Development Permit,"8 Boronia Street, Blackwater",Lot 67 on B33791,13/06/2012
"Northshore Hamilton, Brisbane",DEV2012/233,Material Change of Use,Temporary Warehouse (timber storage).,Development Permit,"92 Macarthur Avenue, Eagle Farm",Part Lot 886 on SL6135 and Part 968 on SL5770,4/05/2012
,,,Change to Approval and Request to Extend Currency Period approved 21 March 2014.,,,,
Blackwater,DEV2012/234,Reconfiguring a Lot,ROL 1 lot into 2,Development Permit,"2 Umbrella Street, Blackwater",Lot 1 on B337100,19/07/2012
Ripley Valley,DEV2012/235,Material Change of Use,"Commercial Uses, Residential Uses, Retail Uses, Rural Uses, Service, Community and Other Uses, Sport, Recreation and Entertainment Uses, Tourism Uses and Interim Uses",Development Permit,"Ripley Road, Ripley Valley","Lot 179 on S14798, Lot 180 on RP910173, lot 182 on S151860, Lot 183 on S151860, Lot 184 on SL151860, Lot 510 on S151860, Lot 185 on SP200943, Lot 4 on RP229320, Lot 3 on SP193441, Lot 192 on S151860 and Lot 195 on SP193441",5/07/2013
"Tannum Sands, Gladstone",DEV2012/236,Reconfiguring a Lot,"ROL 1 into 142 residential lots, 6 open space lots, 1 balance lot and new road",Development Permit,"Tannum Sand Road, Tannum Sands",Lot 6 on SP228432,10/08/2012
Moranbah,DEV2012/237,Material Change of Use,Multiple Residential (Construction of 3 Units),Development Permit,"19 Croker Court, Moranbah",Lot 393 on SP230470,11/05/2012
"Fitzgibbon, Brisbane",DEV2012/238,Material Change of Use,Multiple dwellings ( 3 units),Development Permit,"38 Kondalilla Place, Fitzgibbon",lot 117 SP234612,28/04/2012
"Fitzgibbon, Brisbane",DEV2012/239,Reconfiguring a Lot,Development permit for reconfiguring a lot (1 into 185) plus new road and 2 balance parcels.,Development Permit,"20 Merimbula Crescent, Fitzgibbon",Lot 4001 on SP242308,5/07/2012
,,,Chang to Approval approved 22 November 2013.,,,,
Blackwater,DEV2012/241,Material Change of Use,Multiple residential (4 units),Development Permit,"24 Stower Street, Blackwater",Lot 22 on B337143,19/04/2012
Blackwater,DEV2012/242,Material Change of Use,Development Permit for Material Change of Use for Non-Resident Work Accommodation (493 Dwelling Units) and Shop with a Plan of Development,Development Permit,"Capricorn Highway, Blackwater",Lot 4 on SP243869,13/07/2012
Blackwater,DEV2012/243,Material Change of Use,MCU for non-resident worker accommodation - 448 dwelling units; operations works,Development Permit,"Lot 6 off Capricorn Highway, Blackwater",Lot 6 on Sp243869,12/09/2012
,,Operational Work,,,,,
